empresa_de_transporte_marítimo,Nombre ,dirección_empresa,telefono_empresa,Ciudad,tipo_de_empresa
EMBARCACIONES RAPIDOS DEL PACIFICO,JAIRO ARCINIEGAS,MUELLE TURISTICO LOCAL 2 CALLE 7 A 55 A 31,21111,Buenaventura,CABOTAJE PUBLICO
EMIRATES SHIPPING LINE FZE,GOMEZ ARIZA CABRALES MARIA ELVIRA,CALLE 94 # 11-20 OFICINA 202,6354640,Bogotá,INTERNACIONAL PUBLICO
EMPRESA DE TRANSPORTE DE CARGA VIA MARITIMA NO HAY COMO DIOS V,CRISTOBAL RODRIGUEZ MEDRANO,CALLE 100 12-75 EDIFICIO EL PIRATA PISO 3 OFICINA,827 51 66,Turbo,CABOTAJE PUBLICO
EMPRESA DE TRANSPORTES SUDAMERICANA AUSTRAL LTDA,GINNA ALEXANDRA CASTRO MICCAN,CALLE 100 # 84-49 PISO 8 TORRE B,2966313,Bogotá,INTERNACIONAL PUBLICO
ESTACIO MIDERO WILSON DEMACIO,WILSON DEMACIO ESTACIO MIDERO,VEREDA SOÑADORA DE TUMACO,3128141048,Tumaco,INTERNACIONAL PUBLICO
ESTACIO MIDERO WILSON DEMACIO,WILSON DEMACIO ESTACIO MIDERO,VEREDA SOÑADORA DE TUMACO,3128141048,Tumaco,INTERNACIONAL PUBLICO
ESTACIO MIDERO WILSON DEMACIO,WILSON DEMACIO ESTACIO MIDERO,VEREDA SOÑADORA DE TUMACO,3128141048,Tumaco,CABOTAJE PUBLICO
ESTACIO MIDERO WILSON DEMACIO,WILSON DEMACIO ESTACIO MIDERO,VEREDA SOÑADORA DE TUMACO,3128141048,Tumaco,CABOTAJE PUBLICO
ESTUPIÑAN PAREDES ELDA,ELDA ESTUPIÑAN PAREDES,CRA 2 36 57,2441123,Buenaventura,CABOTAJE PUBLICO
HAROLD ALONSO BOTERO ECHEVERRY,HAROLD ALONSO BOTERO ESPINOSA,CALLE 3 5 A 13,242 97 21,Buenaventura,INTERNACIONAL PUBLICO
ETC MARITIMA Y FLUVIAL INTERNACIONAL CABOTAJE URRUTIA MORALES LTD,ROSALBA MORALES ARSUZA,BARRIO EL BOSQUE TRANSVERSAL 48 47 40 PEDEO VELEZ,6745799,Cartagena,CABOTAJE PUBLICO
ETE COLOMBIA SAS,MAURICIO BEJARANO URREGO,CALLE 77B # 59-61 OF. 708,3198374,Bogotá,CABOTAJE PUBLICO
EUROPA WEST INDIES LIJNEN BV,GOMEZ ARIZA CABRALES MARIA ELVIRA,CALLE 94 # 11-20 OFICINA 202,6354640,Bogotá,INTERNACIONAL PUBLICO
EUSTAQUIO CUERO SANCHEZ Y HERIBERTO CUERO TORRES,EUSTAQUIO CUERO SANCHEZ,CALLE 4 12 04,33 163,Buenaventura,CABOTAJE PUBLICO
EVERGREEN MARINE CORPORATION,CARLOS ARTURO OSPINA CORDOBA,CARRERA 7 74 21 PISO 5,345 18 00,Bogotá,INTERNACIONAL PUBLICO
EXPRESS CARGO LINE DE COLOMBIA SA,LUIS HORACIO LAZARTE OBLITAS,CALLE 79 # 7A-30,2126812,Bogotá,INTERNACIONAL PUBLICO
FABIO DE JESUS MARIN MONTOYA,FABIO DE JESUS MARIN MONTOYA,CALLE 100 EL WAFFE,827 89 94,Turbo,CABOTAJE PUBLICO
FABIO MARCELINO VALOIS VALENCIA,FABIO MARCELINO VALOIS VALENCIA,MUELLE TURISTICO LOCAL 3,(092) 2417019,Buenaventura,CABOTAJE PUBLICO
FIESTA TOURS LTDA,OSWALDO VEGA,CENTRO CALLE LARGA 10 B 63,664 40 59,Cartagena,CABOTAJE PUBLICO
FLASH LINE 2000 LIMNITED,RICARDO ULLOA GARCIA,ANTIGUO HOSPITAL SANTA ANA,242 26 56,Buenaventura,INTERNACIONAL PUBLICO
"FLETAMENTOS EXPRESOS INTERNACIONALES S.A ""INTERFLEX S.A.""",MARTHA SIERRA,MANGA CARRERA 23 # 25-170,6609110,Cartagena,INTERNACIONAL PUBLICO
FLOR ELISA ANGULO HURTADO,FLOR ELISA ANGULO HURTADO,VEREDA IMBILI - RIO MIRA,3147735700,Tumaco,INTERNACIONAL PUBLICO
FLOR ELISA ANGULO HURTADO,FLOR ELISA ANGULO HURTADO,VEREDA IMBILI - RIO MIRA,3147735700,Tumaco,CABOTAJE PUBLICO
FLOREZ BONILLA PEDRO,PEDRO FLOREZ BONILLA,CLL 4 12 04,922411908,Buenaventura,CABOTAJE PUBLICO
FLOREZ BONILLA PEDRO,PEDRO FLOREZ BONILLA,CLL 4 12 04,922411908,Buenaventura,CABOTAJE PUBLICO
FLOREZ BONILLA PEDRO,PEDRO FLOREZ BONILLA,CLL 4 12 04,922411908,Buenaventura,CABOTAJE PUBLICO
FLOREZ RESTREPO ALONSO,ALONSO FLOREZ RESTREPO,CARRERA 38 3-01 BARRIO JUAN 23,3112895066,Buenaventura,CABOTAJE PUBLICO
FRANCISCO SIMON MURILLO VELASQUEZ Y JOSE JORGE MURILLO V,JOSE JORGE MURILLO VELASQUEZ,DIAGONAL 14 SUR 48 38,244 78 40,Buenaventura,INTERNACIONAL PUBLICO
FRED OLSEN CRUISE LINES,RAFAEL NICOLAS LLINAS CUENTAS,CALLE 100 12 75 EDIFICIO EL PIRATA,827 51 66,Turbo,INTERNACIONAL PUBLICO
FREIGHT & TRADE SAS,JHON ANTONIO HOWARD LONDOÑO,EDIFICIO CAMARA DE COMERCIO SAN ANDRES,5123124,San andrés,CABOTAJE PUBLICO
FRONTIER LINER SERVICES INC,CARLOS ALBERTO ARIZA OYUELA,CALLE 94 11 20,218 46 72,Bogotá,INTERNACIONAL PUBLICO
FUNDACION ITALOCOLOMBIANA DEL MONTE TABOR,DIEGO ORLANDO POSSO PAZ,CALLE 3 5 A 13,09224 24128,Buenaventura,CABOTAJE PRIVADO
FUNDACION LA ESPERANZA FUNDAESPERANZA,EMIRO GONZALEZ PAZ,ANTIGUO HOSPITAL SANTA HELENA,242 26 56,Buenaventura,CABOTAJE PRIVADO
FUNDACIÓN POR LA CONSERVACIÓN DE LA SELVA PLUVIAL DE PANAMÁ,OTMAR HANSER,,50766179002,,INTERNACIONAL PUBLICO
FYFFES INTERNATIONAL B V,AGENCIA MARÍTIMA TURBADUANA SOCIEDAD POR ACCIONES SIMPLIFICADA,CR 46  53 15  ED TORRE 46 P 13,(094) 251-4166,Bogotá,INTERNACIONAL PUBLICO
GABRIEL JAIME AVILA TOBAR,GABRIEL JAIME AVILA TOVAR,LOW BAHIA VIA SAN LUIS,5132193,San andrés,INTERNACIONAL PUBLICO
GABRIEL JAIME AVILA TOBAR,GABRIEL JAIME AVILA TOVAR,LOW BAHIA VIA SAN LUIS,5132193,San andrés,INTERNACIONAL PUBLICO
GABRIEL JAIME AVILA TOBAR,GABRIEL JAIME AVILA TOVAR,LOW BAHIA VIA SAN LUIS,5132193,San andrés,CABOTAJE PUBLICO
GABRIEL LEON GIL AMAYA,GABRIEL LEON GIL AMAYA,CALLE 101 11 - 37,827 21 46,Turbo,CABOTAJE PUBLICO
GAMA LOGISTICS S A,GABRIEL GALVIS FRANCO,AVENIDA ARSENAL 8 B 39,0756 50 26 00,Cartagena,INTERNACIONAL PUBLICO
GARCES OBANDO LUIS,LUIS GARCES OBANDO,BARRIO EL PIÑAL CALLE 6 No. 23-06,3164826526,Buenaventura,CABOTAJE PUBLICO
GARCIA RAMOS OMAR,GARCIA RAMOS OMAR,BARRIO PUERTO LUZ TIMBIQUI CAUCA,3165385245,Bogotá,CABOTAJE PUBLICO
GARFER LTDA,GARCIA DAZA JOSE ALBERTO,CARRERA 66 74 143,353 18 37,Barranquilla,INTERNACIONAL PRIVADO
GARFER LTDA,GARCIA DAZA JOSE ALBERTO,CARRERA 66 74 143,353 18 37,Barranquilla,CABOTAJE PUBLICO
GLADYS RAQUEL VILLOTA Y CARMEN HURTADO DE PINEDA,GLADYS RAQUEL VILLOTA Y CARMEN HURTADO,CALLE 3 5 A 13,242 29 71,Buenaventura,CABOTAJE PUBLICO
GLOBE COM LINES INC,UNITED LOGISTIC SERVICES S.A.,CALLE 79 # 9-10 TERCER PISO,6070021,Bogotá,INTERNACIONAL PUBLICO
GRANPORTUARIA SA,FERNANDO BUITRAGO,CARRERA 13 A 77A 63,691 11 12,Bogotá,INTERNACIONAL PUBLICO
GREAT WHITE FLEET LTD,MAURICIO PERDOMO VANEGAS,CARRERA 14 94 A 24 OFICINA 507,635 86 31,Bogotá,INTERNACIONAL PUBLICO
GUANGZHOU OCEAN SHIPPING COMPANY,ÁLVAREZ PALACIO BLANCA MARÍA,CR 13  100 33 OF 204 CC DON DIEGO,(094) 827-5166,Turbo,INTERNACIONAL PUBLICO
HAMBURG SUDAMERIKANISCHE DAMPFSCHIFFFAHTTS GESELLSCHATF,EDUARDO ULLOA GARCIA,CARRERA 10 28 49,282 52 00,Bogotá,INTERNACIONAL PUBLICO
HANJIN SHIPPING CO. LTD.,CHOI EUN YOUNG KIM YANG MIN,CARRERA 12 79 32 PISO 4,317 24 00,Bogotá,INTERNACIONAL PUBLICO
HAPAG LLOYD AG,RAFAEL FELIPE GONZALEZ JIMENEZ,CARRERA 10 28 49 TORRE A PISO 18,2000000,Bogotá,INTERNACIONAL PUBLICO
HAPAG LLOYD KREUZFAHRTEN GMBH,BAERBEL KRAEMER,CARRERA 10 28 49,282 52 00,Bogotá,INTERNACIONAL PUBLICO
HAROLD ALONSO BOTERO ECHEVERRY,HAROLD ALONSO BOTERO ESPINOSA,CALLE 3 5 A 13,242 97 21,Buenaventura,CABOTAJE PUBLICO
HAROLD ALONSO BOTERO ECHEVERRY,HAROLD ALONSO BOTERO ESPINOSA,CALLE 3 5 A 13,242 97 21,Buenaventura,CABOTAJE PUBLICO
HEBERTO ARROYO ESTUPIÑAN,HEBERTO ARROYO ESTUPIÑAN,CALLE 4 12 04,243 31 63,Buenaventura,INTERNACIONAL PUBLICO
HEBERTO ARROYO ESTUPIÑAN,HEBERTO ARROYO ESTUPIÑAN,CALLE 4 12 04,243 31 63,Buenaventura,CABOTAJE PUBLICO
HEBERTO ARROYO ESTUPIÑAN Y HUBER PAZ ERAZO,HEBERTO ARROYO ESTUPIÑAN,CALLE 4 12 04,243 31 63,Buenaventura,CABOTAJE PUBLICO
HERNANDO GIL GRAJALES,HERNANDO GIL GRAJALES,EL LAGUITO EDIFICIO LAS TRES CALABERAS APT 701,665 01 53,Cartagena,INTERNACIONAL PUBLICO
HERNANDO GIL GRAJALES,HERNANDO GIL GRAJALES,EL LAGUITO EDIFICIO LAS TRES CALABERAS APT 701,665 01 53,Cartagena,CABOTAJE PUBLICO
HOEGH UGLAND AUTOLINERS AS HUAL A.S.,ALFONSO ACOSTA LATORRE,CARRERA 7 # 67-02,3466220,Bogotá,INTERNACIONAL PUBLICO
HOLLAND AMERICA LINE WESTOURS INC,ADRIANA CADENA LOZANO,EDIFICIO BANCO POPULAR OFICINA 701 LA MATUNA,6645683,Cartagena,INTERNACIONAL PUBLICO
HORN LINIE GMBH CO,ALFONSO ACOSTA LATORRE,CARRERA 7 # 67-02,3466220,Bogotá,INTERNACIONAL PUBLICO
HOWARD Y CIA S EN CS,GONZALO HOWARD DAVIS,AVENIDA NEWALL DIAGONAL A TEXACO,5123124,San andrés,INTERNACIONAL PUBLICO
HOWARD Y CIA S EN CS,GONZALO HOWARD DAVIS,AVENIDA NEWALL DIAGONAL A TEXACO,5123124,San andrés,CABOTAJE PUBLICO
HUBER PAZ ERAZO,HUBER PAZ ERAZO,CALLE 3 5 A 13,18 847,Buenaventura,CABOTAJE PUBLICO
HUBER PAZ ERAZO,HUBER PAZ ERAZO,CALLE 3 5 A 13,18 847,Buenaventura,CABOTAJE PRIVADO
HURTADO ROSALES EMMA LEONOR,HURTADO ROSALES EMMA LEONOR,VEREDA IMBILI - CARRETERA,3202272012,Tumaco,INTERNACIONAL PUBLICO
HURTADO VELEZ MIGUEL SANTIAGO,MIGUEL SANTIAGO HURTADO VELEZ,KM 4 EL PIÑAL LA PALERA,922417019,Buenaventura,CABOTAJE PUBLICO
HYUNDAI MERCHANT MARINE CO LTD,ÁLVAREZ PALACIO BLANCA MARÍA,CR 13  100 33 OF 204 CC DON DIEGO,(094) 827-5166,Turbo,INTERNACIONAL PUBLICO
"HYUNDAI MERCHANT MARINE, (AMERICA), INC",NAVES S.A.S.,CL 100 # 13-21 OF 302 ED MEGATOWER,(091) 7051366,Bogotá,INTERNACIONAL PUBLICO
INTERCARIBE LTDA,EDGAR ENRIQUE AARON VILLALBA,CARRERA 60 76-67,353 07 86,Barranquilla,CABOTAJE PUBLICO
INTEROCEAN LINES INC,JUAN JOSE SALDARRIAGA CUARTAS,CARRERA 12 79 32 PISO 4,317 24 00,Bogotá,INTERNACIONAL PUBLICO
INTERWORLD  FREIGHT LTDA,ORLANDO CORNEJO AYALA,CALLE 18 # 6-56 PISO 4,3274747,Bogotá,INTERNACIONAL PUBLICO
INVERSIONES CLOPED S.A.S.,CLOBIS JIMENEZ CORREA,CRA 18C # 99-13 LAS DELICIAS,8274438,Turbo,INTERNACIONAL PUBLICO
INVERSIONES MARITIMAS SA DE CV INVERMAR,CRUZ HAYLOCK HERBERT GABRIEL,GUANAJA ISLA DE LA BAHIA HONDURAS,453 45 61,San andrés,INTERNACIONAL PUBLICO
INVERSIONES ONE PIECE SAS,JHON ANTONIO HOWARD LONDOÑO,EDIFICIO CAMARA DE COMERCIO SAN ANDRES,5123124,San andrés,INTERNACIONAL PUBLICO
INVERSIONES ONE PIECE SAS,JHON ANTONIO HOWARD LONDOÑO,EDIFICIO CAMARA DE COMERCIO SAN ANDRES,5123124,San andrés,CABOTAJE PUBLICO
INVERSIONES PARAISO CHOCOANO S.A.S.,OSCAR RESTREPO CRUZ,CALLE 6 #22-77,24201518,Buenaventura,INTERNACIONAL PUBLICO
INVERSIONES PARAISO CHOCOANO S.A.S.,OSCAR RESTREPO CRUZ,CALLE 6 #22-77,24201518,Buenaventura,INTERNACIONAL PUBLICO
INVERSIONES PARAISO CHOCOANO S.A.S.,OSCAR RESTREPO CRUZ,CALLE 6 #22-77,24201518,Buenaventura,CABOTAJE PUBLICO
INVERSIONES PARAISO CHOCOANO S.A.S.,OSCAR RESTREPO CRUZ,CALLE 6 #22-77,24201518,Buenaventura,CABOTAJE PUBLICO
INVERSIONES RUIZ HENRY Y CIA S EN CS,OLGA DOLORES RUIZ HENRY,BARRIO ALMENDROS AV FRANCISCO NEWAL CASA 10 MZ 8,512 30 60,San andrés,CABOTAJE PUBLICO
ISABELLA SHIPPING COMPANY LIMITED,GOMEZ ARIZA CABRALES MARIA ELVIRA,CALLE 94 # 11-20 OFICINA 202,6354640,Bogotá,INTERNACIONAL PUBLICO
ISLA BONITA SHIPPING INC,CARLOS EDUARDO PLATA ORTEGON,CARRERA 13 # 73-34 OFICINA 203,7035028,Bogotá,INTERNACIONAL PUBLICO
JAIME GONZALEZ OBANDO,JAIME GONZALEZ OBANDO,CALLE 3 5A - 13,242 29 71,Buenaventura,CABOTAJE PUBLICO
JAIME GUSTAVO VILLA HURTADO,JAIME GUSTAVO VILLA HURTADO,CALLE 3 5 A 13,0994 22 971,Buenaventura,CABOTAJE PUBLICO
JAIME GUSTAVO VILLA HURTADO,JAIME GUSTAVO VILLA HURTADO,CALLE 3 5 A 13,0994 22 971,Buenaventura,CABOTAJE PRIVADO
JAMES VALENCIA PAREDES,JAMES VALENCIA PAREDES,CALLE 4 12 04,09224 33 163,Buenaventura,CABOTAJE PUBLICO
JB LOGISTIC LTDA,ALVARO JOSE DE CASTRO,CALLE 21 A 69 B 06,411 93 11,Bogotá,CABOTAJE PUBLICO
JESUS CARRILLO OLIER,JESUS CARRILLO OLIER,AVENIDA CRISANTO LUQUE,669 10 37,Cartagena,CABOTAJE PUBLICO
JHON JANIO ALVAREZ VELEZ,JHON JANIO ALVAREZ VELEZ,CALLE 6 A 3A 63 OFICINA 102 CALIMITA,09224 24128,Buenaventura,CABOTAJE PUBLICO
JIM GONZALO HOWARD FERRER,JIM GONZALO HOWARD FERRER,AV FRANCISCO NEWBALL DG A TEXACO,5123124,San andrés,INTERNACIONAL PUBLICO
JIM GONZALO HOWARD FERRER,JIM GONZALO HOWARD FERRER,AV FRANCISCO NEWBALL DG A TEXACO,5123124,San andrés,CABOTAJE PUBLICO
JMC LOGISTICS CARGO LTDA,GILBERTO MENDEZ RAMIREZ,CALLE 25 C 84 B 05 OFICINA 401,429 94 74,Bogotá,INTERNACIONAL PUBLICO
JOHNY ALBERTO AGUDELO BERRIO,AGENCIA MARITIMA CIELO MARES,CALLE 3 5 A 13,09224 34407,Buenaventura,CABOTAJE PUBLICO
JORGE LUIS BALDICH PALACIOS,JORGE LUIS BALDRICH PALACIOS,CALLE 100 12 -75 EDIFICIO EL PIRATA OFICINA 303,8275166,Turbo,CABOTAJE PUBLICO
JOSE ALEJANDRO CUERO PEÑA,JOSE ALEJANDRO CUERO PEÑA,MUELLE TURISTICO LOCAL 10,18144,Buenaventura,CABOTAJE PUBLICO
JOSE DE JESUS ANGULO PRETEL,JOSE DE JESUS ANGULO PRETEL,AVENIDA SIMON BOLIVAR EL PIÑAL,09224 14 856,Buenaventura,CABOTAJE PUBLICO
JOSE DEL CARMEN HERNANDEZ ZARZA,JOSE DEL CARMEN HERNANDEZ ZARZA,EDIFICIO GEDEON LA MATUNA PISO 4 OFICINA 401,660 03 76,Cartagena,CABOTAJE PUBLICO
JOSE GABRIEL ORTIZ LEMOS,JOSE GABRIEL ORTIZ LEMOS,CALLE 3 5A - 13,242 29 71,Buenaventura,CABOTAJE PUBLICO
JOSE RUBEN GIRALDO SANCHEZ,JOSE RUBEN GIRALDO SANCHEZ,CALLE 5 # 11-36,922415218,Buenaventura,INTERNACIONAL PUBLICO
JOSE RUBEN GIRALDO SANCHEZ,JOSE RUBEN GIRALDO SANCHEZ,CALLE 5 # 11-36,922415218,Buenaventura,CABOTAJE PUBLICO
JOSÉ RUBÉN GIRALDO SÁNCHEZ S.A.S.,JOSE RUBEN GIRALDO SANCHEZ,CALLE 5 # 11-36,922415218,Buenaventura,INTERNACIONAL PUBLICO
JOSÉ RUBÉN GIRALDO SÁNCHEZ S.A.S.,JOSE RUBEN GIRALDO SANCHEZ,CALLE 5 # 11-36,922415218,Buenaventura,CABOTAJE PUBLICO
JUAN ENRIQUEZ VALENCIA,JUAN ENRIQUEZ VALENCIA,CALLE AURORA 54 - 73,657 67 64,Cartagena,CABOTAJE PUBLICO
JUAN GUTIERREZ TAPIAS,JUAN GUTIERREZ TAPIAS,BARRIO JUAN 23,827 51 66,Turbo,INTERNACIONAL PUBLICO
JUAN GUTIERREZ TAPIAS,JUAN GUTIERREZ TAPIAS,BARRIO JUAN 23,827 51 66,Turbo,CABOTAJE PUBLICO
JUDITH VALENCIA JULIO,JUDITH VALENCIA JULIO,CARRERA 13 13 06,822 10 94,Turbo,INTERNACIONAL PUBLICO
JULIO JOHN PAREDES PAREDES,HERNEY MONTOYA CHENG,CALLE 6  # 23 -A- 22 PESQUERA LA CATALINA,(092) 242-5706,Buenaventura,CABOTAJE PUBLICO
KAWASAKY KISEN KAISHA LTD,CARLOS ALBERTO ARIZA OYUELA,CALLE 94 11 20,218 46 72,Bogotá,INTERNACIONAL PUBLICO
KENERTH RODRIGUEZ PEREA,KENERTH RODRIGUEZ PEREA,CR 75 MZ 9220 CA 7,3137466582,Buenaventura,INTERNACIONAL PUBLICO
KENERTH RODRIGUEZ PEREA,KENERTH RODRIGUEZ PEREA,CR 75 MZ 9220 CA 7,3137466582,Buenaventura,INTERNACIONAL PUBLICO
KENERTH RODRIGUEZ PEREA,KENERTH RODRIGUEZ PEREA,CR 75 MZ 9220 CA 7,3137466582,Buenaventura,CABOTAJE PUBLICO
KENERTH RODRIGUEZ PEREA,KENERTH RODRIGUEZ PEREA,CR 75 MZ 9220 CA 7,3137466582,Buenaventura,CABOTAJE PUBLICO
KING OCEAN SERVICES LIMITED,GOMEZ ARIZA CABRALES MARIA ELVIRA,CALLE 94 # 11-20 OFICINA 202,6354640,Bogotá,INTERNACIONAL PUBLICO
KRYSTAL LOGISTICS COLOMBIA LTDA,CARLOS ALFONSO FORERO OLEA,CALLE 90 11 A 34 OFICINA 206,610 03 85,Bogotá,INTERNACIONAL PUBLICO
LALO OMAR RAMOS MORENO,LALO OMAR RAMOS MORENO,CALLE 3 26- 36  BARRIO KENNEDY,41461,Buenaventura,CABOTAJE PUBLICO
LEADER OCEAN FREIGHT FORWARDER INC,DAVID JIANG,CALLE 100 # 8A-49 OFICINA 912,6210591,Bogotá,INTERNACIONAL PUBLICO
LEADER OCEAN INTERNATIONAL HK LIMITED,DAVID JIANG,CALLE 100 # 8A-49 OFICINA 912,6210591,Bogotá,INTERNACIONAL PUBLICO
LEMUS EDGAR (EX LEMUS EDGAR Y D´CROZ AGUIRRE JESUS LEOPOLDO),EDGAR LEMUS,CLL 4 12 04,922411908,Buenaventura,CABOTAJE PUBLICO
LEOPOLDO CARABALI LEMOS,LEOPOLDO CARABALI LEMOS,CARRERA 64 A 8 53,09224 22525,Buenaventura,CABOTAJE PUBLICO
LILLY & ASSOCIATES INTERNATIONAL,FERNANDO RAFAEL BUSTILLO SANCHEZ,CALLE 24D #80C-31 OF201,2631935,Bogotá,INTERNACIONAL PUBLICO
LINDA MAR S.A.S.,SANDRA PATRICIA GONZALEZ BRAVO,BARRIO CIUDADELA BLOQUE 2 CASA 2,3155010275,Tumaco,INTERNACIONAL PUBLICO
LINDA MAR S.A.S.,SANDRA PATRICIA GONZALEZ BRAVO,BARRIO CIUDADELA BLOQUE 2 CASA 2,3155010275,Tumaco,CABOTAJE PUBLICO
LOGISTICA PASAR S A,SANDRA PATRICIA BRICEÑO ORTEGA,CARRERA 102 25 H 45 OFICINA 206,414 48 00,Bogotá,INTERNACIONAL PUBLICO
LUIS ARMANDO ANGULO SINISTERRA,LUIS ARMANDO ANGULO SINISTERRA,CALLE 4 12 04,11 914,Buenaventura,CABOTAJE PUBLICO
LUIS CARLOS CASTELLANOS ORTEGON,LUIS CARLOS CASTELLANOS ORTEGON,CALLE 7A #4-92,3104125754,Buenaventura,CABOTAJE PUBLICO
LUIS FERNANDO HERRERA CASTAÑO,LUIS FERNANDO HERRERA CASTAÑO,BARRIO CIUDADELA BLOQUE 2 CASA 28,3175269800,Tumaco,INTERNACIONAL PUBLICO
LUIS MARIO POSADA GONZALEZ,LUIS MARIO POSADA GONZALEZ,CALLE 3 5A - 13,242 29 71,Buenaventura,CABOTAJE PUBLICO
MADERAS MARCO AURELIO ZULUAGA S.A.,JOHN MARIO MONTES VASQUEZ,CALLE 3  SUR 17 F 16,12 196,Buenaventura,INTERNACIONAL PUBLICO
MAERSK LINE A/S,LARSEN KIM KENNET,CALLE 98 22 64 OFICINA 409,622 37 77,Bogotá,INTERNACIONAL PUBLICO
MAGDALENO MARTINEZ VELEZ,MAGDALENO MARTINEZ VELEZ,CARRERA 2 7 - 42,840 01 52,Guapi,CABOTAJE PUBLICO
MAGELLAN LOGISTICS CHILE S A,JOSE A. BELMAR,CALLE 100 # 8A-49 PISO 8,6211247,Bogotá,INTERNACIONAL PUBLICO
MAGNUM LOGISTICS S A,ANDRES ANRANGO CUARTAS,CALLE 16 41 210 OFICINA 405 EDIFICIO LA COMPAÑIA,268  17 05,Bogotá,INTERNACIONAL PUBLICO
MALCO CARGO S A,GERMAN ARAOZ GIRALDO,CARRERA 43 A 1 A SUR 267,352 13 13,Bogotá,INTERNACIONAL PUBLICO
MAP CARGO LTDA,ELIZABETH PARRA C.,CARRERA 97 # 43-23,4252600,Bogotá,INTERNACIONAL PUBLICO
MARCIAL BERRIO PERTUZ,MARCIAL BERRIO PERTUZ,EL SOCORRO MANZANA 16 LOTE 8,663 33 87,Cartagena,CABOTAJE PUBLICO
MARIA DE LOS ANGELES REINA ESCOBAR Y HORACIO AGUIRRE PEREA,MARIA DE LOS ANGELES REINA ESCOBAR,CALLE 8 3 86 DIAGONAL BASE NAVAL BUENAVENTURA,09224 22525,Buenaventura,CABOTAJE PUBLICO
MARIA ELENA I,MARIA ELENA PANDALES MOSQUERA,CALLE 6 23A-22,3206709875,Buenaventura,CABOTAJE PUBLICO
MARIA ELENA PINZON NIETO,MARIA ELENA PINZON NIETO,MUELLE PINZON LA PRADERA CALLE 9 5 A -13,241 84 90,Buenaventura,CABOTAJE PUBLICO
MARIANA BRAVO DE MEJIA,MARIANA BRAVO DE MEJIA,BARRIO OBRERO ETAPA I,316 866 87 91,Tumaco,INTERNACIONAL PUBLICO
MARIANA BRAVO DE MEJIA,MARIANA BRAVO DE MEJIA,BARRIO OBRERO ETAPA I,316 866 87 91,Tumaco,CABOTAJE PUBLICO
MARITIMA EL COVE LTDA,JOSE MITCHELL HUDGSON,CARERA 1 B 2-40 GALEON,1377,San andrés,INTERNACIONAL PUBLICO
MARITIMA EL COVE LTDA,JOSE MITCHELL HUDGSON,CARERA 1 B 2-40 GALEON,1377,San andrés,CABOTAJE PUBLICO
MARITIMA MORGAN EU,ARTURO ROBINSON DAWKINS,MUELLE MICHELLMAR CALLE 85 87 81 BARRIO SIAPE,373 14 11,Barranquilla,CABOTAJE PUBLICO
MARITIME SERVICES S.A.S.,CESAR ULISES LAFAURIE HENRIQUEZ,CLL 9 46B 61,3135336877,Barranquilla,CABOTAJE PUBLICO
MARITIME SOLUTIONS SAS,LILIANA PATRICIA LORA SIERRA,BLAZ DE LEZO MANZANA E LOTE 17 1era ETAPA,3183678687,Cartagena,INTERNACIONAL PUBLICO
MARITIME SOLUTIONS SAS,LILIANA PATRICIA LORA SIERRA,BLAZ DE LEZO MANZANA E LOTE 17 1era ETAPA,3183678687,Cartagena,CABOTAJE PUBLICO
MARLENE MORENO GONGORA,MORENO GONGORA MARLENE,MUELLE TURISTICO LOCAL 1,241 81 44,Buenaventura,CABOTAJE PUBLICO
MARVEGA SA,MAURICIO RESTREPO POSADA,EDIFICIO SEGUROS BOLIVAR,665 10 84,Cartagena,INTERNACIONAL PUBLICO
MEDITERRANEAN SHIPPING COMPANY,RUEDA ESTEVEZ JUAN CARLOS,CALLE 100 8 A 55 OFICINA 218,621 17 31,Bogotá,INTERNACIONAL PUBLICO
MEDITERRANEAN SHIPPING COMPANY SA,GIAN LUGI APONTE,CALLE 100 8A 55 OFICINA 218,611 27 87,Bogotá,INTERNACIONAL PUBLICO
MEGA CARGA EXPRESS S.A.S.,JOSE DAVID VILLAREAL GONZALEZ,CARRERA 16 # 99A-62,8273253,Turbo,INTERNACIONAL PUBLICO
MELFI MARINE CORPORATION SA,LUIS GONZALO GIL OSPINA,CARRERA 13 # 94A-25/45 OFICINA 305,3564680,Bogotá,INTERNACIONAL PUBLICO
MERIDIAN LOGISTICS S.A.,MIGUEL ANGEL RAMIREZ ACUÑA,CRA 26 #39-58,7562900,Bogotá,INTERNACIONAL PUBLICO
METAL PACIFIC S.A.S.,ASERCOL MARÍTIMA S.A.,"MANGA, 3 AVENIDA  #  28-02",(095) 660-9386 / 660-9392,Cartagena,CABOTAJE PUBLICO
MITSUI OSK LINES LTD,EDUARDO ULLOA GARCIA,CARRERA 10 28 49,282 52 00,Bogotá,INTERNACIONAL PUBLICO
MOISES MARIN MONTOYA,MOISES MARIN MONTOYA,CALLE 100 12-75 EDIFICIO EL PIRATA,827 51 66,Turbo,CABOTAJE PUBLICO
MORENO FAJARDO ABDUL,ABDUL MORENO FAJARDO,CLL 6 22 64 EL PIÑAL,3103954613,Buenaventura,CABOTAJE PUBLICO
MORENO IBARGUEN CLAUDIO AMPARO,CLAUDIA AMPARO MOREMO IBARGUEN,CALLE 1 NO. 2-17 OF 405,09224-13359,Buenaventura,CABOTAJE PUBLICO
