empresa_de_transporte_marítimo,Nombre ,dirección_empresa,telefono_empresa,Ciudad,tipo_de_empresa
ASERCOL CARGO LOGISTIC S A,GILBERTO PERDOMO ZAMBRANO,MANZANA 30 A AVENIDA 38 03,660 93 84,Cartagena,INTERNACIONAL PUBLICO
ASOCIACION DE TRANSPORTADORES FLUVIALES DE LA FRONTERA COL-ECU,LUIS ANGEL BUSTOS PALACIOS,PUERTO PALMA IMBILI SAN ANDRES DE TUMACO,3122725262,Tumaco,INTERNACIONAL PUBLICO
ASOCIACION DE TRANSPORTADORES FLUVIALES DE LA FRONTERA COL-ECU,LUIS ANGEL BUSTOS PALACIOS,PUERTO PALMA IMBILI SAN ANDRES DE TUMACO,3122725262,Tumaco,CABOTAJE PUBLICO
ATENCIO CADAVIA BERLIDY,ATENCIO CADAVIA,CENTRO COMERCIAL DON DIEGO,8275166,Turbo,CABOTAJE PUBLICO
ATLANTIC SUPPLY S. DE R.L.,ELVERT DOWIE BODDEN GALE,EDIFICIO CAMARA DE COMERCIO OFICINA 305,5123389,San andrés,INTERNACIONAL PUBLICO
AUSTRALIAN BUNKER SUPPLIER S C. I.  S.A.S,JOSE LUBER GIRALDO CASTAÑO,CARRERA  3 5 A 13,09224 128,Buenaventura,CABOTAJE PUBLICO
BAHIA MAR SAS (EX ASTURIAS BAHIA MAR),JULIO CESAR DUGUID ORTIZ,MUELLE TURISTICO LOCAL 1,2423696,Buenaventura,CABOTAJE PUBLICO
BAHIA MAR SAS (EX ASTURIAS BAHIA MAR),JULIO CESAR DUGUID ORTIZ,MUELLE TURISTICO LOCAL 1,2423696,Buenaventura,CABOTAJE PUBLICO
BAHIA PINOROA LIMITADA,LUIS ENRIQUE  ATEHORTUA CONTRERA,CARRERA 16 106 16-26,827 51 66,Turbo,INTERNACIONAL PUBLICO
BAHIA PINOROA LIMITADA,LUIS ENRIQUE  ATEHORTUA CONTRERA,CARRERA 16 106 16-26,827 51 66,Turbo,CABOTAJE PUBLICO
BARTOLO ESPINOSA MARTINEZ,BARTOLO ESPINOSA MARTINEZ,CALLE 4 # 12--04,2433163,Buenaventura,CABOTAJE PUBLICO
BARTOLO ESPINOSA MARTINEZ,BARTOLO ESPINOSA MARTINEZ,CALLE 4 # 12--04,2433163,Buenaventura,CABOTAJE PUBLICO
